tracking_number,service_type,carrier_code,package_weight_kg,packaging_type,origin_city,origin_state,origin_pincode,destination_city,destination_state,destination_pincode,pickup_datetime_ist,delivery_datetime_ist,total_transit_hours,num_facilities_visited,num_in_transit_events,time_in_inter_facility_transit_hours,avg_hours_per_facility,is_express_service,delivery_location_type,num_out_for_delivery_attempts,first_attempt_delivery,total_events_count
391128701026,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Gurgaon,HR,,2020-03-16 14:13:55,2020-03-20 13:37:00,95.38,3,7,82.4,31.79,True,RESIDENCE,1,True,11
390901883808,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Bangalore,KA,,2020-03-06 11:57:56,2020-03-09 19:50:00,79.87,3,7,60.13,26.62,True,RECEPTIONIST_OR_FRONT_DESK,2,False,12
391128749178,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Ahmedabad,GJ,,2020-03-16 14:19:04,2020-03-19 15:29:00,73.17,3,8,56.43,24.39,True,RESIDENCE,1,True,12
390807986805,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,New Delhi,DL,,2020-03-03 12:34:38,2020-03-07 14:24:00,97.82,2,6,81.62,48.91,True,RESIDENCE,1,True,10
390948921190,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Delhi,DL,,2020-03-09 11:39:24,2020-03-13 14:44:00,99.08,3,7,83.0,33.03,True,RESIDENCE,1,True,11
390950106897,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-09 13:59:28,2020-03-12 16:00:00,74.01,3,8,59.9,24.67,True,,0,True,12
391128762808,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Mumbai,MH,,2020-03-16 14:20:46,2020-03-18 12:09:00,45.8,3,7,35.27,15.27,True,RESIDENCE,0,True,10
390807994538,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,New Delhi,DL,,2020-03-03 12:35:41,2020-03-07 15:19:00,98.72,2,6,81.62,49.36,True,RESIDENCE,1,True,10
390950134073,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Delhi,DL,,2020-03-09 14:03:12,2020-03-13 14:44:00,96.68,3,6,83.0,32.23,True,RESIDENCE,1,True,10
390950572730,FEDEX_EXPRESS_SAVER,FDXE,28.0,YOUR_PACKAGING,Bangalore,KA,,Bangalore,KA,,2020-03-09 14:51:22,2020-03-10 15:30:00,24.64,3,5,10.8,8.21,True,RECEPTIONIST_OR_FRONT_DESK,1,True,9
390839041400,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Delhi,DL,,2020-03-04 11:02:03,2020-03-09 14:45:00,123.72,3,9,85.8,41.24,True,RESIDENCE,1,True,13
390807999654,FEDEX_EXPRESS_SAVER,FDXE,14.0,YOUR_PACKAGING,Bangalore,KA,,Bokaro steel City,JH,,2020-03-03 12:36:19,2020-03-12 13:00:00,216.39,2,7,202.02,108.2,True,RECEPTIONIST_OR_FRONT_DESK,1,True,11
